year,musician,work,category,status,cleaned_musician
2001,Beck,Midnite Vultures,album-of-the-year,nominee,Beck
2001,Eminem,The Marshall Mathers LP,album-of-the-year,nominee,Eminem
2001,Radiohead,Kid A,album-of-the-year,nominee,Radiohead
2001,Paul Simon,You’re the One,album-of-the-year,nominee,Paul Simon
2000,Santana,Supernatural,album-of-the-year,winner,Santana
2000,Backstreet Boys,Millennium,album-of-the-year,nominee,Backstreet Boys
2000,Dixie Chicks,Fly,album-of-the-year,nominee,Dixie Chicks
2000,Diana Krall,When I Look in Your Eyes,album-of-the-year,nominee,Diana Krall
2000,TLC,FanMail,album-of-the-year,nominee,TLC
1999,Lauryn Hill,The Miseducation of Lauryn Hill,album-of-the-year,winner,Lauryn Hill
1999,Madonna,Ray of Light,album-of-the-year,nominee,Madonna
1999,Sheryl Crow,The Globe Sessions,album-of-the-year,nominee,Sheryl Crow
1999,Garbage,Version 2.0,album-of-the-year,nominee,Garbage
1999,Shania Twain,Come on Over,album-of-the-year,nominee,Shania Twain
1998,Bob Dylan,Time Out of Mind,album-of-the-year,winner,Bob Dylan
1998,Babyface,The Day,album-of-the-year,nominee,Babyface
1998,Paula Cole,This Fire,album-of-the-year,nominee,Paula Cole
1998,Paul McCartney,Flaming Pie,album-of-the-year,nominee,Paul McCartney
1998,Radiohead,OK Computer,album-of-the-year,nominee,Radiohead
1997,Celine Dion,Falling Into You,album-of-the-year,winner,Celine Dion
1997,Beck,Odelay,album-of-the-year,nominee,Beck
1997,Fugees,The Score,album-of-the-year,nominee,Fugees
1997,Smashing Pumpkins,Mellon Collie and the Infinite Sadness,album-of-the-year,nominee,Smashing Pumpkins
1997,soundtrack,Waiting to Exhale,album-of-the-year,nominee,soundtrack
1996,Alanis Morissette,Jagged Little Pill,album-of-the-year,winner,Alanis Morissette
1996,Mariah Carey,Daydream,album-of-the-year,nominee,Mariah Carey
1996,Michael Jackson,HIStory: Past Present and Future Book 1,album-of-the-year,nominee,Michael Jackson
1996,Joan Osborne,Relish,album-of-the-year,nominee,Joan Osborne
1996,Pearl Jam,Vitalogy,album-of-the-year,nominee,Pearl Jam
1995,Tony Bennett,MTV Unplugged,album-of-the-year,winner,Tony Bennett
1995,Zubin Mehta,"The Three Tenors in Concert 1994, Jose Carreras, Placido Domingo, Luciano Pavarotti",album-of-the-year,nominee,Zubin Mehta
1995,Eric Clapton,From the Cradle,album-of-the-year,nominee,Eric Clapton
1995,Bonnie Raitt,Longing in Their Hearts,album-of-the-year,nominee,Bonnie Raitt
1995,Seal,Seal,album-of-the-year,nominee,Seal
1994,Whitney Houston,The Bodyguard soundtrack,album-of-the-year,winner,Whitney Houston
1994,Donald Fagen,Kamakiriad,album-of-the-year,nominee,Donald Fagen
1994,Billy Joel,River of Dreams,album-of-the-year,nominee,Billy Joel
1994,R.E.M.,Automatic for the People,album-of-the-year,nominee,REM
1994,Sting,Ten Summoner’s Tales,album-of-the-year,nominee,Sting
1993,Eric Clapton,Unplugged,album-of-the-year,winner,Eric Clapton
1993,k.d. lang,Ingenue,album-of-the-year,nominee,kd lang
1993,Annie Lennox,Diva,album-of-the-year,nominee,Annie Lennox
1993,U2,Achtung Baby,album-of-the-year,nominee,U2
1993,soundtrack,Beauty and the Beast,album-of-the-year,nominee,soundtrack
1992,Natalie Cole,Unforgettable…with Love,album-of-the-year,winner,Natalie Cole
1992,Amy Grant,Heart in Motion,album-of-the-year,nominee,Amy Grant
1992,Bonnie Raitt,Luck of the Draw,album-of-the-year,nominee,Bonnie Raitt
1992,R.E.M.,Out of Time,album-of-the-year,nominee,REM
1992,Paul Simon,The Rhythm of the Saints,album-of-the-year,nominee,Paul Simon
1991,Quincy Jones,Back on the Block,album-of-the-year,winner,Quincy Jones
1991,Mariah Carey,Mariah Carey,album-of-the-year,nominee,Mariah Carey
1991,Phil Collins,…But Seriously,album-of-the-year,nominee,Phil Collins
1991,MC Hammer,"Please, Hammer, Don’t Hurt ‘Em",album-of-the-year,nominee,MC Hammer
1991,Wilson Phillips,Wilson Phillips,album-of-the-year,nominee,Wilson Phillips
1990,Bonnie Raitt,Nick of Time,album-of-the-year,winner,Bonnie Raitt
1990,Don Henley,The End of the Innocence,album-of-the-year,nominee,Don Henley
1990,Fine Young Cannibals,The Raw and the Cooked,album-of-the-year,nominee,Fine Young Cannibals
1990,Tom Petty,Full Moon Fever,album-of-the-year,nominee,Tom Petty
1990,Traveling Wilburys,Traveling Wilburys Vol. 1,album-of-the-year,nominee,Traveling Wilburys
1989,George Michael,Faith,album-of-the-year,winner,George Michael
1989,Tracy Chapman,Tracy Chapman,album-of-the-year,nominee,Tracy Chapman
1989,Bobby McFerrin,Simple Pleasures,album-of-the-year,nominee,Bobby McFerrin
1989,Sting,…Nothing Like the Sun,album-of-the-year,nominee,Sting
1989,Steve Winwood,Roll With It,album-of-the-year,nominee,Steve Winwood
1988,U2,The Joshua Tree,album-of-the-year,winner,U2
1988,Whitney Houston,Whitney,album-of-the-year,nominee,Whitney Houston
1988,Michael Jackson,Bad,album-of-the-year,nominee,Michael Jackson
1988,Linda Ronstadt & Emmylou Harris,"Trio, Dolly Parton",album-of-the-year,nominee,Linda Ronstadt  Emmylou Harris
1988,Prince,Sign ‘o’ the Times,album-of-the-year,nominee,Prince
1987,Paul Simon,Graceland,album-of-the-year,winner,Paul Simon
1987,Peter Gabriel,So,album-of-the-year,nominee,Peter Gabriel
1987,Janet Jackson,Control,album-of-the-year,nominee,Janet Jackson
1987,Barbra Streisand,The Broadway Album,album-of-the-year,nominee,Barbra Streisand
1987,Steve Winwood,Back in the High Life,album-of-the-year,nominee,Steve Winwood
1986,Phil Collins,No Jacket Required,album-of-the-year,winner,Phil Collins
1986,Dire Straits,Brothers in Arms,album-of-the-year,nominee,Dire Straits
1986,Whitney Houston,Whitney Houston,album-of-the-year,nominee,Whitney Houston
1986,Sting,The Dream of the Blue Turtles,album-of-the-year,nominee,Sting
1986,USA for Africa (Quincy Jones),We are the World,album-of-the-year,nominee,USA for Africa Quincy Jones
1985,Lionel Richie,Can’t Slow Down,album-of-the-year,winner,Lionel Richie
1985,Cyndi Lauper,She’s So Unusual,album-of-the-year,nominee,Cyndi Lauper
1985,Prince,Purple Rain,album-of-the-year,nominee,Prince
1985,Bruce Springsteen,Born in the USA,album-of-the-year,nominee,Bruce Springsteen
1985,Tina Turner,Private Dancer,album-of-the-year,nominee,Tina Turner
1984,Michael Jackson,Thriller,album-of-the-year,winner,Michael Jackson
1984,David Bowie,Let’s Dance,album-of-the-year,nominee,David Bowie
1984,Billy Joel,An Innocent Man,album-of-the-year,nominee,Billy Joel
1984,the Police,Synchronicity,album-of-the-year,nominee,the Police
1984,soundtrack,Flashdance,album-of-the-year,nominee,soundtrack
1983,Toto,Toto IV,album-of-the-year,winner,Toto
1983,John Cougar,American Fool,album-of-the-year,nominee,John Cougar
1983,Donald Fagen,The Nightfly,album-of-the-year,nominee,Donald Fagen
1983,Billy Joel,The Nylon Curtain,album-of-the-year,nominee,Billy Joel
1983,Paul McCartney,Tug of War,album-of-the-year,nominee,Paul McCartney
1982,John Lennon & Yoko Ono,Double Fantasy,album-of-the-year,winner,John Lennon  Yoko Ono
1982,Kim Carnes,Mistaken Identity,album-of-the-year,nominee,Kim Carnes
1982,Al Jarreau,Breakin’ Away,album-of-the-year,nominee,Al Jarreau
1982,Quincy Jones,The Dude,album-of-the-year,nominee,Quincy Jones
1982,Steely Dan,Gaucho,album-of-the-year,nominee,Steely Dan
1981,Christopher Cross,Christopher Cross,album-of-the-year,winner,Christopher Cross
1981,Billy Joel,Glass Houses,album-of-the-year,nominee,Billy Joel
1981,Pink Floyd,The Wall,album-of-the-year,nominee,Pink Floyd
1981,Frank Sinatra,Trilogy: Past Present Future,album-of-the-year,nominee,Frank Sinatra
1981,Barbra Streisand,Guilty,album-of-the-year,nominee,Barbra Streisand
1980,Billy Joel,52nd Street,album-of-the-year,winner,Billy Joel
1980,Doobie Brothers,Minute by Minute,album-of-the-year,nominee,Doobie Brothers
1980,Kenny Rogers,The Gambler,album-of-the-year,nominee,Kenny Rogers
1980,Donna Summer,Bad Girls,album-of-the-year,nominee,Donna Summer
1980,Supertramp,Breakfast in America,album-of-the-year,nominee,Supertramp
1979,Bee Gees,Saturday Night Fever,album-of-the-year,winner,Bee Gees
1979,Barry Manilow,Even Now,album-of-the-year,nominee,Barry Manilow
1979,soundtrack,Grease,album-of-the-year,nominee,soundtrack
1979,Jackson Browne,Running on Empty,album-of-the-year,nominee,Jackson Browne
1979,Rolling Stones,Some Girls,album-of-the-year,nominee,Rolling Stones
1978,Fleetwood Mac,Rumours,album-of-the-year,winner,Fleetwood Mac
1978,Steely Dan,Aja,album-of-the-year,nominee,Steely Dan
1978,Eagles,Hotel California,album-of-the-year,nominee,Eagles
1978,James Taylor,JT,album-of-the-year,nominee,James Taylor
1978,John Williams,Star Wars soundtrack,album-of-the-year,nominee,John Williams
1977,Stevie Wonder,Songs in the Key of Life,album-of-the-year,winner,Stevie Wonder
1977,George Benson,Breezin’,album-of-the-year,nominee,George Benson
1977,Chicago,Chicago X,album-of-the-year,nominee,Chicago
1977,Peter Frampton,Frampton Comes Alive!,album-of-the-year,nominee,Peter Frampton
1977,Boz Scaggs,Silk Degrees,album-of-the-year,nominee,Boz Scaggs
1976,Paul Simon,Still Crazy After All These Years,album-of-the-year,winner,Paul Simon
1976,Janis Ian,Between the Lines,album-of-the-year,nominee,Janis Ian
1976,Elton John,Captain Fantastic and the Brown Dirt Cowboy,album-of-the-year,nominee,Elton John
